동,x,y,addr,src
충신동,127.004832649507,37.5752458345237,서울 종로구 충신동 60,keyword
평창동,126.9687582933755,37.61282126254865,서울 종로구 평창동,keyword
필운동,126.968863450033,37.5779132755643,서울 종로구 필운동 88-1,keyword
행촌동,126.96346810881765,37.573031041794664,서울 종로구 행촌동 1-89,keyword
혜화동,127.003835977703,37.5879039308662,서울 종로구 혜화동 28-5,keyword
홍파동,126.965103329332,37.5717169847688,서울 종로구 홍파동 2-16,keyword
남대문로5가,126.968573895548,37.5557487004694,서울 중구 남대문로5가 67-4,keyword
남창동,126.976924906434,37.5596933919402,서울 중구 남창동 34-155,keyword
묵정동,126.99942163706675,37.56153728298224,서울 중구 묵정동 35,keyword
산림동,126.99544970010409,37.5674657521006,서울 중구 산림동 207-2,keyword
순화동,126.97156325655304,37.563523260181675,서울 중구 순화동 1-144,keyword
예장동,126.99088780303528,37.55116104550315,서울 중구 예장동,keyword
을지로5가,127.003391215754,37.5674045233696,서울 중구 을지로5가 40-3,keyword
인현동2가,126.99569887431603,37.56480782321409,서울 중구 인현동1가 2-35,keyword
장충동1가,127.005975932894,37.5602000538893,서울 중구 장충동1가 62-18,keyword
장충동2가,127.004884483545,37.5542427094569,서울 중구 장충동2가,keyword
중림동,126.968573895548,37.5557487004694,서울 중구 남대문로5가 67-4,keyword
충무로5가,127.000249005385,37.5626581239414,서울 중구 충무로5가 19-10,keyword
필동1가,126.992075018508,37.5609513705316,서울 중구 필동1가 13-2,keyword
황학동,127.019790230942,37.5667938401715,서울 중구 황학동 409,keyword
회현동1가,126.98403099725546,37.55658072049463,서울 중구 회현동1가 산 1-19,keyword
회현동2가,126.98175547982937,37.55944556203258,서울 중구 회현동1가 203,keyword
흥인동,127.014058114749,37.5660053894124,서울 중구 흥인동 160,keyword
망우동,127.11216035053316,37.60444335498825,서울 중랑구 망우동 산 33,keyword
면목동,127.095764720133,37.5711282880022,서울 중랑구 면목동,keyword
묵동,127.08709217385757,37.60857753365413,서울 중랑구 묵동 산 46-19,keyword
상봉동,127.08005129601267,37.594940625000994,서울 중랑구 상봉동 160-10,keyword
신내동,127.08851491816,37.6126336282707,서울 중랑구 신내동 777,keyword
중화동,127.07150297439844,37.59812120607576,서울 중랑구 중화동,keyword
능동,127.08378909469191,37.55147044344215,서울 광진구 능동 18,keyword
미근동,126.966804196914,37.5651870590594,서울 서대문구 미근동 333,keyword
보문동2가,127.018816940151,37.5853761093663,서울 성북구 보문동2가 87,keyword
구기동,126.96198218724,37.6078719424666,서울 종로구 구기동 17-21,keyword
부암동,126.9615290394227,37.59494258107993,서울 종로구 부암동 산 16-1,keyword
수송동,126.9804566506326,37.57497491834271,서울 종로구 수송동 85-5,keyword
통인동,126.970864669291,37.5786489976486,서울 종로구 통인동 154-10,keyword
남산동2가,126.985852618471,37.5592118648241,서울 중구 남산동2가 15-27,keyword
신교동,126.96825253302536,37.58496338802416,서울 종로구 신교동 1-1,keyword
정동,126.974894754989,37.5655638710672,서울 중구 정동 5-1,keyword
필동3가,127.000215037458,37.5582576552459,서울 중구 필동3가 26-1,keyword
안암동5가,127.0333557589,37.5888363125305,서울 성북구 안암동5가 1-2,keyword
신문로2가,126.96853671631679,37.56880593279047,서울 종로구 신문로2가 7-22,keyword
연지동,127.00085126251913,37.57292586877173,서울 종로구 연지동 136-56,keyword
평동,126.968052437254,37.5683625128987,서울 종로구 평동 108-1,keyword
오장동,126.99987775835788,37.56427090773028,서울 중구 오장동 90-10,keyword
입정동,126.994313247461,37.5675918422344,서울 중구 입정동 42-1,keyword
이화동,127.00710150317953,37.577975732883786,서울 종로구 이화동 9-413,keyword
구수동,126.93248394734226,37.545661320153435,서울 마포구 구수동 60,keyword
원남동,126.99654951735786,37.576234274024536,서울 종로구 원남동,keyword
낙원동,126.988277140357,37.5722117017437,서울 종로구 낙원동 289-7,keyword
